_id,model_make_id,model_name,model_trim
603bee82b008341fdf4b2a64,abarth,1300,Scorpione Coupe
603bee82b008341fdf4b2a65,abarth,750,Saloon
603bee82b008341fdf4b2a66,abarth,OT,Berlina
603bee82b008341fdf4b2a67,abarth,207,A Corsa Boano Spider
603bee82b008341fdf4b2a68,abarth,750,Zagato
603bee82b008341fdf4b2a69,abarth,Renault,Fregate
603bee82b008341fdf4b2a6a,abarth,2400,Coupe
603bee82b008341fdf4b2a6b,abarth,A 112,false
603bee82b008341fdf4b2a6c,abarth,1000,false
603bee82b008341fdf4b2a6d,abarth,700,Bialbero
603bee82b008341fdf4b2a6e,abarth,Lancia 037,false
603bee82b008341fdf4b2a6f,abarth,2400,Cabriolet
603bee82b008341fdf4b2a70,abarth,A 112,false
603bee82b008341fdf4b2a71,abarth,1000 Bialbero,GT Coupe
603bee82b008341fdf4b2a72,abarth,Bialbero,0.7
603bee82b008341fdf4b2a73,abarth,600,true
603bee82b008341fdf4b2a74,abarth,700,Bialbero
603bee82b008341fdf4b2a75,abarth,2000,false
603bee82b008341fdf4b2a76,abarth,500,Zagato
603bee82b008341fdf4b2a77,abarth,A 112,false
603bee82b008341fdf4b2a78,abarth,1300,Abarth
603bee82b008341fdf4b2a79,abarth,750,Zagato
603bee82b008341fdf4b2a7a,abarth,Spider Riviera,false
603bee82b008341fdf4b2a7b,abarth,Renault,Fregate
603bee82b008341fdf4b2a7c,abarth,A 112,true
603bee82b008341fdf4b2a7d,abarth,750,Bialbero
603bee82b008341fdf4b2a7e,abarth,OT,Berlina
603bee82b008341fdf4b2a7f,abarth,2000,Coupe Speciale
603bee82b008341fdf4b2a80,abarth,Renault,Fregate 2000
603bee82b008341fdf4b2a81,abarth,500,Zagato
603bee82b008341fdf4b2a82,abarth,700,Bialbero
603bee82b008341fdf4b2a83,abarth,750,Viotti
603bee82b008341fdf4b2a84,abarth,A 112,false
603bee82b008341fdf4b2a85,abarth,800 Scorpione Coupe Allemano,false
603bee82b008341fdf4b2a86,abarth,595,false
603bee82b008341fdf4b2a87,abarth,OT,Berlina
603bee82b008341fdf4b2a88,abarth,A 112,false
603bee82b008341fdf4b2a89,abarth,750,Zagato
